Feature_Set,Avg_Excess_SPX,Win_Rate_SPX,Best_CAGR,Best_Strategy,Avg_Volatility
SolitonCore,-0.07838503664145746,0.018518518518518517,0.13309378986657827,Linear_KellyCriterion_5d,0.02372968221146925
PostCollision,-0.0850389057190676,0.0,0.04100342476719443,Ridge_KellyCriterion_5d,0.02390674201652891
Traditional,-0.08083780259336201,0.0,0.023528285632012924,Linear_KellyCriterion_5d,0.024383492723578728
Hybrid,-0.0793091352163166,0.0,0.04128097755569948,Ridge_KellyCriterion_5d,0.023720881995616862
BestFeatures,-0.0806795274396613,0.0,0.04138273667415149,Linear_KellyCriterion_5d,0.02409560732152915
