Horizon,Avg_Excess_SPX,Win_Rate_SPX,Best_CAGR,Best_Strategy,Avg_Sharpe
1,-0.08309937038456638,0.0,0.005187004254397332,Ridge_KellyCriterion_BestFeatures,0.0056420818877150735
3,-0.08266491551264796,0.0,0.014579370931112612,RandomForest_KellyCriterion_SolitonCore,0.013399379945056526
5,-0.07678595866870468,0.011111111111111112,0.13309378986657827,Linear_KellyCriterion_SolitonCore,0.022886786045389126
