Metric,Value
Algorithm,Linear
Risk_Strategy,KellyCriterion
Horizon,5d
Feature_Set,SolitonCore
CAGR,0.13309378986657827
Excess_CAGR_SPX,0.050835892813426486
Excess_CAGR_6040,0.06858412170038664
Sharpe,0.05353608610235807
Calmar,0.23098827465715568
Max_Drawdown,0.5761928395028826
VaR_5pct,0.007947293680512755
Volatility,0.17520372926049094
Information_Ratio_SPX,0.34636196649756984
R2,0.0038572222851948057
Correlation,0.06663767859479663
Years,17.727583846680357
Successful_Splits,3
