Algorithm,Avg_Excess_SPX,Win_Rate_SPX,Best_CAGR,Best_Sharpe,Best_Strategy
Linear,-0.08078634854097652,0.011111111111111112,0.13309378986657827,0.0682058409917306,KellyCriterion_5d_SolitonCore
Ridge,-0.08053226926975719,0.0,0.05937590269083004,0.06659135234852144,KellyCriterion_5d_SolitonCore
RandomForest,-0.08123162675518528,0.0,0.02345365585774406,0.025355874974976902,KellyCriterion_5d_Traditional
