algorithm,horizon,features,n_features,risk_strategy,total_return,cagr,spx_cagr,portfolio_60_40_cagr,risk_parity_cagr,excess_cagr_spx,excess_cagr_6040,excess_cagr_rp,volatility,sharpe,max_drawdown,calmar_ratio,var_5pct,information_ratio_spx,information_ratio_6040,r2,correlation,rmse,n_trades,years,successful_splits,feature_set
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonProbeMax"", ""SolitonProbeStd"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonEnergy""]",8,KellyCriterion,-0.38922134527215146,-0.02740272856532311,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.10996250157649978,-0.09208422202937716,-0.07567084515400424,0.08881834146794744,-0.009370088334149252,0.4315473510909296,-0.06349877596525715,0.0036458324776241407,-0.4291384332420772,-0.5735888154179586,-0.001315089292779792,0.02146310747785593,0.018701175736048122,4467,17.744010951403148,3,SolitonCore
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonProbeMax"", ""SolitonProbeStd"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonEnergy""]",8,VolatilityTargeting,0.0004230808240378974,2.383882615530908e-5,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08253593418502136,-0.06465765463789874,-0.04824427776252582,0.00026344606819257114,0.011236064084778268,0.0007210728398400053,0.002383882615530908,6.595168714368668e-6,-0.3957517765025101,-0.5218570483683921,-0.001315089292779792,0.02146310747785593,0.018701175736048122,4467,17.744010951403148,3,SolitonCore
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonProbeMax"", ""SolitonProbeStd"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonEnergy""]",8,MaxDrawdownControl,0.00038245006497658325,2.15498666400471e-5,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08253822314453663,-0.064659943597414,-0.048246566722041084,0.00015850330278399267,0.012735143270645746,0.0003004556301849051,0.00215498666400471,2.747986964320279e-6,-0.39585804312178374,-0.5219931044545703,-0.001315089292779792,0.02146310747785593,0.018701175736048122,4467,17.744010951403148,3,SolitonCore
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonProbeMax"", ""SolitonProbeStd"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonEnergy""]",8,VaRBased,0.000469973757147236,2.648046016373584e-5,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08253329255101294,-0.06465501300389032,-0.048241636128517396,0.00019021626527655191,0.012956581612552196,0.0003605452796469105,0.002648046016373584,3.297584357184334e-6,-0.39583933844337316,-0.5219791427007368,-0.001315089292779792,0.02146310747785593,0.018701175736048122,4467,17.744010951403148,3,SolitonCore
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonProbeMax"", ""SolitonProbeStd"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonEnergy""]",8,RiskParity,0.003123384355138114,0.0001757658281489327,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08238400718302774,-0.06450572763590512,-0.0480923507605322,0.0012681073518157546,0.012948761110783146,0.002403300449769966,0.01757658281489327,2.1983895714562233e-5,-0.3952925918749781,-0.5216468754273135,-0.001315089292779792,0.02146310747785593,0.018701175736048122,4467,17.744010951403148,3,SolitonCore
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonProbeMax"", ""SolitonProbeStd"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonEnergy""]",8,ConservativeBalanced,0.00015704482641085634,8.849926403708963e-6,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08255092308477296,-0.06467264353765034,-0.04825926666227742,7.163295614525718e-5,0.01318699396268141,0.00018027485465743582,0.0008849926403708963,1.648792178592167e-6,-0.3958815457893453,-0.521982575893108,-0.001315089292779792,0.02146310747785593,0.018701175736048122,4467,17.744010951403148,3,SolitonCore
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonAsymmetryRatio"", ""SolitonAsymmetryMagnitude"", ""SolitonAsymmetryY_MA5"", ""SolitonConcentration_MA10"", ""SolitonConcentration""]",8,KellyCriterion,-0.3312050125040625,-0.022416122462857624,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.1049758954740343,-0.08709761592691168,-0.07068423905153876,0.08867159998350949,-0.006331161200470318,0.36958766868213355,-0.060651705569042584,0.00413965321699784,-0.4018807328514849,-0.5254641193052533,-0.009166063045832118,-0.026773107484913204,0.018774347391942146,4467,17.744010951403148,3,PostCollision
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonAsymmetryRatio"", ""SolitonAsymmetryMagnitude"", ""SolitonAsymmetryY_MA5"", ""SolitonConcentration_MA10"", ""SolitonConcentration""]",8,VolatilityTargeting,-0.002154141284755606,-0.0001215245953101185,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08268129760648679,-0.06480301805936417,-0.04838964118399125,0.00032086365884597664,-0.01903559147589539,0.002239781848950815,-0.01215245953101185,7.211291967080013e-6,-0.39635626473685076,-0.5228028234711027,-0.009166063045832118,-0.026773107484913204,0.018774347391942146,4467,17.744010951403148,3,PostCollision
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonAsymmetryRatio"", ""SolitonAsymmetryMagnitude"", ""SolitonAsymmetryY_MA5"", ""SolitonConcentration_MA10"", ""SolitonConcentration""]",8,MaxDrawdownControl,-0.000901052291328524,-5.080224460973781e-5,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08261057525578641,-0.06473229570866379,-0.04831891883329087,0.00013829221808969508,-0.01822244115663544,0.0009633567245832797,-0.005080224460973781,3.004704986283339e-6,-0.3961188907326424,-0.5223747337600815,-0.009166063045832118,-0.026773107484913204,0.018774347391942146,4467,17.744010951403148,3,PostCollision
Linear,1,"[""SolitonAsymmetryY_MA10"", ""SolitonAsymmetryX"", ""SolitonConcentration_MA5"", ""SolitonAsymmetryRatio"", ""SolitonAsymmetryMagnitude"", ""SolitonAsymmetryY_MA5"", ""SolitonConcentration_MA10"", ""SolitonConcentration""]",8,VaRBased,-0.0010643882084926009,-6.001591846216403e-5,0.08255977301117667,0.06468149346405405,0.04826811658868113,-0.08261978892963884,-0.06474150938251622,-0.048328132507143295,0.00016598334058534806,-0.01784172643418751,0.0011559552995961905,-0.006001591846216403,3.6056459835400067e-6,-0.3961507915009869,-0.5224345083157761,-0.009166063045832118,-0.026773107484913204,0.018774347391942146,4467,17.744010951403148,3,PostCollision
